Date,Commodity,Price
2023-01-01,Onion,51.91
2023-01-02,Onion,54.67
2023-01-03,Onion,49.54
2023-01-04,Onion,49.69
2023-01-05,Onion,55.27
2023-01-06,Onion,52.97
2023-01-07,Onion,49.4
2023-01-08,Onion,52.58
2023-01-09,Onion,49.7
2023-01-10,Onion,49.84
2023-01-11,Onion,52.1
2023-01-12,Onion,45.77
2023-01-13,Onion,46.48
2023-01-14,Onion,50.11
2023-01-15,Onion,48.9
2023-01-16,Onion,53.02
2023-01-17,Onion,49.49
2023-01-18,Onion,48.11
2023-01-19,Onion,56.89
2023-01-20,Onion,51.95
2023-01-21,Onion,52.97
2023-01-22,Onion,48.63
2023-01-23,Onion,51.4
2023-01-24,Onion,53.51
2023-01-25,Onion,49.86
2023-01-26,Onion,54.57
2023-01-27,Onion,51.78
2023-01-28,Onion,52.84
2023-01-29,Onion,52.04
2023-01-30,Onion,59.54
2023-01-31,Onion,54.07
2023-02-01,Onion,51.07
2023-02-02,Onion,56.84
2023-02-03,Onion,50.84
2023-02-04,Onion,55.26
2023-02-05,Onion,48.88
2023-02-06,Onion,50.91
2023-02-07,Onion,55.61
2023-02-08,Onion,57.36
2023-02-09,Onion,55.78
2023-02-10,Onion,55.05
2023-02-11,Onion,54.62
2023-02-12,Onion,51.21
2023-02-13,Onion,53.61
2023-02-14,Onion,54.5
2023-02-15,Onion,59.18
2023-02-16,Onion,57.16
2023-02-17,Onion,50.96
2023-02-18,Onion,57.34
2023-02-19,Onion,55.33
2023-02-20,Onion,54.57
2023-02-21,Onion,58.55
2023-02-22,Onion,59.92
2023-02-23,Onion,59.73
2023-02-24,Onion,54.53
2023-02-25,Onion,56.23
2023-02-26,Onion,58.26
2023-02-27,Onion,60.31
2023-02-28,Onion,56.05
2023-03-01,Onion,57.04
2023-03-02,Onion,54.38
2023-03-03,Onion,54.21
2023-03-04,Onion,60.34
2023-03-05,Onion,62.08
2023-03-06,Onion,57.89
2023-03-07,Onion,61.22
2023-03-08,Onion,59.39
2023-03-09,Onion,56.47
2023-03-10,Onion,59.58
2023-03-11,Onion,63.21
2023-03-12,Onion,58.58
2023-03-13,Onion,63.47
2023-03-14,Onion,51.01
2023-03-15,Onion,61.42
2023-03-16,Onion,59.3
2023-03-17,Onion,58.23
2023-03-18,Onion,59.49
2023-03-19,Onion,53.33
2023-03-20,Onion,58.72
2023-03-21,Onion,60.53
2023-03-22,Onion,63.97
2023-03-23,Onion,58.06
2023-03-24,Onion,57.27
2023-03-25,Onion,58.26
2023-03-26,Onion,62.59
2023-03-27,Onion,60.9
2023-03-28,Onion,58.39
2023-03-29,Onion,61.59
2023-03-30,Onion,60.41
2023-03-31,Onion,63.09
2023-04-01,Onion,58.14
2023-04-02,Onion,59.33
2023-04-03,Onion,59.2
2023-04-04,Onion,56.04
2023-04-05,Onion,61.38
2023-04-06,Onion,61.33
2023-04-07,Onion,60.62
2023-04-08,Onion,59.95
2023-04-09,Onion,56.46
2023-04-10,Onion,59.5
2023-04-11,Onion,59.78
2023-04-12,Onion,58.45
2023-04-13,Onion,60.42
2023-04-14,Onion,62.16
2023-04-15,Onion,66.65
2023-04-16,Onion,61.55
2023-04-17,Onion,61.84
2023-04-18,Onion,60.88
2023-04-19,Onion,55.39
2023-04-20,Onion,61.1
2023-04-21,Onion,61.39
2023-04-22,Onion,68.63
2023-04-23,Onion,60.69
2023-04-24,Onion,62.2
2023-04-25,Onion,61.22
2023-04-26,Onion,57.84
2023-04-27,Onion,64.8
2023-04-28,Onion,63.65
2023-04-29,Onion,63.78
2023-04-30,Onion,58.7
2023-05-01,Onion,65.65
2023-05-02,Onion,57.25
2023-05-03,Onion,63.23
2023-05-04,Onion,68.05
2023-05-05,Onion,58.52
2023-05-06,Onion,59.8
2023-05-07,Onion,61.8
2023-05-08,Onion,60.0
2023-05-09,Onion,56.86
2023-05-10,Onion,61.72
2023-05-11,Onion,58.32
2023-05-12,Onion,62.93
2023-05-13,Onion,58.75
2023-05-14,Onion,66.15
2023-05-15,Onion,59.14
2023-05-16,Onion,60.52
2023-05-17,Onion,63.91
2023-05-18,Onion,57.77
2023-05-19,Onion,62.13
2023-05-20,Onion,65.35
2023-05-21,Onion,56.59
2023-05-22,Onion,61.95
2023-05-23,Onion,62.15
2023-05-24,Onion,63.7
2023-05-25,Onion,57.62
2023-05-26,Onion,57.34
2023-05-27,Onion,62.84
2023-05-28,Onion,62.14
2023-05-29,Onion,61.97
2023-05-30,Onion,62.23
2023-05-31,Onion,59.11
2023-06-01,Onion,61.82
2023-06-02,Onion,61.96
2023-06-03,Onion,58.9
2023-06-04,Onion,66.6
2023-06-05,Onion,62.39
2023-06-06,Onion,57.35
2023-06-07,Onion,62.85
2023-06-08,Onion,57.91
2023-06-09,Onion,63.15
2023-06-10,Onion,64.21
2023-06-11,Onion,58.23
2023-06-12,Onion,63.53
2023-06-13,Onion,61.82
2023-06-14,Onion,63.0
2023-06-15,Onion,66.17
2023-06-16,Onion,59.68
2023-06-17,Onion,58.1
2023-06-18,Onion,57.63
2023-06-19,Onion,57.79
2023-06-20,Onion,59.95
2023-06-21,Onion,61.14
2023-06-22,Onion,60.88
2023-06-23,Onion,62.46
2023-06-24,Onion,59.95
2023-06-25,Onion,64.21
2023-06-26,Onion,58.98
2023-06-27,Onion,67.86
2023-06-28,Onion,61.51
2023-06-29,Onion,56.99
2023-06-30,Onion,56.27
2023-07-01,Onion,60.85
2023-07-02,Onion,58.66
2023-07-03,Onion,61.39
2023-07-04,Onion,60.59
2023-07-05,Onion,58.87
2023-07-06,Onion,56.46
2023-07-07,Onion,54.38
2023-07-08,Onion,57.5
2023-07-09,Onion,61.32
2023-07-10,Onion,59.31
2023-07-11,Onion,54.84
2023-07-12,Onion,59.01
2023-07-13,Onion,59.55
2023-07-14,Onion,55.65
2023-07-15,Onion,58.68
2023-07-16,Onion,58.3
2023-07-17,Onion,54.6
2023-07-18,Onion,59.01
2023-07-19,Onion,59.52
2023-07-20,Onion,60.99
2023-07-21,Onion,60.8
2023-07-22,Onion,53.41
2023-07-23,Onion,54.63
2023-07-24,Onion,58.89
2023-07-25,Onion,58.79
2023-07-26,Onion,58.69
2023-07-27,Onion,68.6
2023-07-28,Onion,58.65
2023-07-29,Onion,60.24
2023-07-30,Onion,59.59
2023-07-31,Onion,58.58
2023-08-01,Onion,55.57
2023-08-02,Onion,58.69
2023-08-03,Onion,53.98
2023-08-04,Onion,55.48
2023-08-05,Onion,54.63
2023-08-06,Onion,56.22
2023-08-07,Onion,62.81
2023-08-08,Onion,50.16
2023-08-09,Onion,57.71
2023-08-10,Onion,50.7
2023-08-11,Onion,54.01
2023-08-12,Onion,58.58
2023-08-13,Onion,55.39
2023-08-14,Onion,51.85
2023-08-15,Onion,52.83
2023-08-16,Onion,56.9
2023-08-17,Onion,52.55
2023-08-18,Onion,55.28
2023-08-19,Onion,54.65
2023-08-20,Onion,52.45
2023-08-21,Onion,60.72
2023-08-22,Onion,56.07
2023-08-23,Onion,47.98
2023-08-24,Onion,54.5
2023-08-25,Onion,51.84
2023-08-26,Onion,56.26
2023-08-27,Onion,51.21
2023-08-28,Onion,53.13
2023-08-29,Onion,54.87
2023-08-30,Onion,55.84
2023-08-31,Onion,49.52
2023-09-01,Onion,52.0
2023-09-02,Onion,51.47
2023-09-03,Onion,50.81
2023-09-04,Onion,57.95
2023-09-05,Onion,53.75
2023-09-06,Onion,48.64
2023-09-07,Onion,55.06
2023-09-08,Onion,58.56
2023-09-09,Onion,55.17
2023-09-10,Onion,47.4
2023-09-11,Onion,50.39
2023-09-12,Onion,55.53
2023-09-13,Onion,49.49
2023-09-14,Onion,52.83
2023-09-15,Onion,53.71
2023-09-16,Onion,48.49
2023-09-17,Onion,50.97
2023-09-18,Onion,41.31
2023-09-19,Onion,47.85
2023-09-20,Onion,50.05
2023-09-21,Onion,46.96
2023-09-22,Onion,55.48
2023-09-23,Onion,46.18
2023-09-24,Onion,49.04
2023-09-25,Onion,50.64
2023-09-26,Onion,54.47
2023-09-27,Onion,45.72
2023-09-28,Onion,53.41
2023-09-29,Onion,49.84
2023-09-30,Onion,46.76
2023-10-01,Onion,50.98
2023-10-02,Onion,50.09
2023-10-03,Onion,47.58
2023-10-04,Onion,49.49
2023-10-05,Onion,48.02
2023-10-06,Onion,49.41
2023-10-07,Onion,50.95
2023-10-08,Onion,53.62
2023-10-09,Onion,45.05
2023-10-10,Onion,55.06
2023-10-11,Onion,42.7
2023-10-12,Onion,48.0
2023-10-13,Onion,50.12
2023-10-14,Onion,49.1
2023-10-15,Onion,46.3
2023-10-16,Onion,47.44
2023-10-17,Onion,46.49
2023-10-18,Onion,46.11
2023-10-19,Onion,50.33
2023-10-20,Onion,48.76
2023-10-21,Onion,45.52
2023-10-22,Onion,50.21
2023-10-23,Onion,48.34
2023-10-24,Onion,49.77
2023-10-25,Onion,49.13
2023-10-26,Onion,44.67
2023-10-27,Onion,45.39
2023-10-28,Onion,49.23
2023-10-29,Onion,48.74
2023-10-30,Onion,46.76
2023-10-31,Onion,47.09
2023-11-01,Onion,50.49
2023-11-02,Onion,44.81
2023-11-03,Onion,48.15
2023-11-04,Onion,45.82
2023-11-05,Onion,45.7
2023-11-06,Onion,49.58
2023-11-07,Onion,48.68
2023-11-08,Onion,48.58
2023-11-09,Onion,49.98
2023-11-10,Onion,46.06
2023-11-11,Onion,47.98
2023-11-12,Onion,44.93
2023-11-13,Onion,46.77
2023-11-14,Onion,45.35
2023-11-15,Onion,45.97
2023-11-16,Onion,47.4
2023-11-17,Onion,43.1
2023-11-18,Onion,51.77
2023-11-19,Onion,42.42
2023-11-20,Onion,41.74
2023-11-21,Onion,48.81
2023-11-22,Onion,47.66
2023-11-23,Onion,47.1
2023-11-24,Onion,47.07
2023-11-25,Onion,45.1
2023-11-26,Onion,42.39
2023-11-27,Onion,45.27
2023-11-28,Onion,42.97
2023-11-29,Onion,47.88
2023-11-30,Onion,44.48
2023-12-01,Onion,42.4
2023-12-02,Onion,43.88
2023-12-03,Onion,46.04
2023-12-04,Onion,43.08
2023-12-05,Onion,42.27
